Country or Area ID, Country or Area, Year, Series Description, Date of Last Election, Footnote for Last Election Date, Percentage of Seats Held by Women, Additional Footnotes, Data Source
204,Benin,2021,"Seats held by women in national parliament, as of February (%)",2019-04,,8.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
204,Benin,2022,"Seats held by women in national parliament, as of February (%)",2019-04,,7.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
64,Bhutan,2000,"Seats held by women in national parliament, as of February (%)",2018-10,,2.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
64,Bhutan,2005,"Seats held by women in national parliament, as of February (%)",2018-10,,9.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
64,Bhutan,2010,"Seats held by women in national parliament, as of February (%)",2018-10,,8.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
64,Bhutan,2015,"Seats held by women in national parliament, as of February (%)",2018-10,,8.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
64,Bhutan,2018,"Seats held by women in national parliament, as of February (%)",2018-10,,8.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
64,Bhutan,2019,"Seats held by women in national parliament, as of February (%)",2018-10,,14.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
64,Bhutan,2020,"Seats held by women in national parliament, as of February (%)",2018-10,,14.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
64,Bhutan,2021,"Seats held by women in national parliament, as of February (%)",2018-10,,14.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
64,Bhutan,2022,"Seats held by women in national parliament, as of February (%)",2018-10,,17.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
68,Bolivia (Plurin. State of),2000,"Seats held by women in national parliament, as of February (%)",2020-10,,11.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
68,Bolivia (Plurin. State of),2005,"Seats held by women in national parliament, as of February (%)",2020-10,,19.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
68,Bolivia (Plurin. State of),2010,"Seats held by women in national parliament, as of February (%)",2020-10,,22.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
68,Bolivia (Plurin. State of),2015,"Seats held by women in national parliament, as of February (%)",2020-10,,53.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
68,Bolivia (Plurin. State of),2018,"Seats held by women in national parliament, as of February (%)",2020-10,,53.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
68,Bolivia (Plurin. State of),2019,"Seats held by women in national parliament, as of February (%)",2020-10,,53.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
68,Bolivia (Plurin. State of),2020,"Seats held by women in national parliament, as of February (%)",2020-10,,53.1,"Data are as at 1 January of reporting year.;The statistics refer to the situation before the 2019 election, which itself was invalidated. Fresh elections are expected in May 2020.","Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
68,Bolivia (Plurin. State of),2021,"Seats held by women in national parliament, as of February (%)",2020-10,,46.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
68,Bolivia (Plurin. State of),2022,"Seats held by women in national parliament, as of February (%)",2020-10,,46.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
70,Bosnia and Herzegovina,2000,"Seats held by women in national parliament, as of February (%)",2018-10,,7.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
70,Bosnia and Herzegovina,2005,"Seats held by women in national parliament, as of February (%)",2018-10,,16.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
70,Bosnia and Herzegovina,2010,"Seats held by women in national parliament, as of February (%)",2018-10,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
70,Bosnia and Herzegovina,2015,"Seats held by women in national parliament, as of February (%)",2018-10,,21.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
70,Bosnia and Herzegovina,2018,"Seats held by women in national parliament, as of February (%)",2018-10,,21.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
70,Bosnia and Herzegovina,2019,"Seats held by women in national parliament, as of February (%)",2018-10,,21.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
70,Bosnia and Herzegovina,2020,"Seats held by women in national parliament, as of February (%)",2018-10,,21.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
70,Bosnia and Herzegovina,2021,"Seats held by women in national parliament, as of February (%)",2018-10,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
70,Bosnia and Herzegovina,2022,"Seats held by women in national parliament, as of February (%)",2018-10,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
72,Botswana,2000,"Seats held by women in national parliament, as of February (%)",2019-10,,17.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
72,Botswana,2005,"Seats held by women in national parliament, as of February (%)",2019-10,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
72,Botswana,2010,"Seats held by women in national parliament, as of February (%)",2019-10,,7.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
72,Botswana,2015,"Seats held by women in national parliament, as of February (%)",2019-10,,9.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
72,Botswana,2018,"Seats held by women in national parliament, as of February (%)",2019-10,,9.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
72,Botswana,2019,"Seats held by women in national parliament, as of February (%)",2019-10,,9.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
72,Botswana,2020,"Seats held by women in national parliament, as of February (%)",2019-10,,10.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
72,Botswana,2021,"Seats held by women in national parliament, as of February (%)",2019-10,,10.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
72,Botswana,2022,"Seats held by women in national parliament, as of February (%)",2019-10,,11.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
76,Brazil,2000,"Seats held by women in national parliament, as of February (%)",2018-10,,5.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
76,Brazil,2005,"Seats held by women in national parliament, as of February (%)",2018-10,,8.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
76,Brazil,2010,"Seats held by women in national parliament, as of February (%)",2018-10,,8.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
76,Brazil,2015,"Seats held by women in national parliament, as of February (%)",2018-10,,9.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
76,Brazil,2018,"Seats held by women in national parliament, as of February (%)",2018-10,,10.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
76,Brazil,2019,"Seats held by women in national parliament, as of February (%)",2018-10,,15.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
76,Brazil,2020,"Seats held by women in national parliament, as of February (%)",2018-10,,14.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
76,Brazil,2021,"Seats held by women in national parliament, as of February (%)",2018-10,,15.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
76,Brazil,2022,"Seats held by women in national parliament, as of February (%)",2018-10,,14.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
